site,country,line_type,output_good,_rescued_data,noise_offset,ideal_cycle_time_hours,units_per_cycle,id,t,date,planned_time_hours,unplanned_downtime_hours,actual_operating_time_hours,ideal_cycle_time_unit,max_possible_units,performance_factor,total_units,defect_rate,defective_units,availability,performance,quality,oee
Jiaxing,China,Molding lines,Icons,5,0.9828871479195915,12,510,5,0.9966234117684327,2024-09-06,16,2.9962928,13.00370717048645,0.023529411764705882,552,0.9528770582236781,525,0.019975666,10,0.8127316981554031,0.9499553484645628,0.9809523809523809,0.7573529411764706
Jiaxing,China,Molding lines,Icons,8,0.9828871479195915,12,510,12,1.0158541826469265,2024-09-13,16,3.02627,12.973730087280273,0.023529411764705882,551,0.803348903366847,442,0.02018359,8,0.8108581304550171,0.8016198834132048,0.9819004524886877,0.638235294117647
Jiaxing,China,Molding lines,Icons,7,0.9828871479195915,12,510,19,1.0350849507314526,2024-09-20,16,3.0828753,12.91712474822998,0.023529411764705882,548,0.8796025951344121,482,0.020594753,9,0.8073202967643738,0.8779954279021966,0.9813278008298755,0.6955882352941176
Jiaxing,China,Molding lines,Icons,7,0.9828871479195915,12,510,26,1.054315722541269,2024-09-27,16,3.1118245,12.88817548751831,0.023529411764705882,547,0.880841303771539,481,0.020848006,10,0.8055109679698944,0.8781419115362159,0.9792099792099792,0.6926470588235295
Jiaxing,China,Molding lines,Icons,5,0.9828871479195915,12,510,33,1.073546490625795,2024-10-04,16,3.070923,12.929076910018921,0.023529411764705882,549,0.9117379014462692,500,0.020659065,10,0.8080673068761826,0.9099416736577928,0.98,0.7205882352941175
Jiaxing,China,Molding lines,Icons,9,0.9828871479195915,12,510,40,1.092777258710321,2024-10-11,16,2.9843612,13.015638828277588,0.023529411764705882,553,0.825605232053706,456,0.020185322,9,0.8134774267673492,0.8243476871373626,0.9802631578947368,0.6573529411764706
Jiaxing,China,Molding lines,Icons,2,0.9828871479195915,12,510,4,0.993876159184929,2024-09-05,16,2.9940178,13.005982160568237,0.023529411764705882,552,0.8507831663116301,469,0.019961366,9,0.8128738850355148,0.8484783372303905,0.9808102345415778,0.676470588235294
Jiaxing,China,Molding lines,Icons,0,0.9828871479195915,12,510,11,1.0131069282007776,2024-09-12,16,3.0199466,12.980053424835205,0.023529411764705882,551,0.8382391703728472,461,0.020138742,9,0.8112533390522003,0.8356713542315121,0.9804772234273319,0.6647058823529413
Jiaxing,China,Molding lines,Icons,5,0.9828871479195915,12,510,18,1.0323376981479488,2024-09-19,16,3.0748312,12.925168752670288,0.023529411764705882,549,0.990403966589491,543,0.020534664,11,0.807823047041893,0.988495456633456,0.9797421731123389,0.7823529411764706
Jiaxing,China,Molding lines,Icons,7,0.9828871479195915,12,510,25,1.0515684699577652,2024-09-26,16,3.1116886,12.888311386108398,0.023529411764705882,547,0.8948790610370594,489,0.020836944,10,0.8055194616317749,0.8927377689945274,0.9795501022494888,0.7044117647058824
Jiaxing,China,Molding lines,Icons,0,0.9828871479195915,12,510,32,1.0707992380422913,2024-10-03,16,3.080748,12.919251918792725,0.023529411764705882,549,0.9110980696320286,500,0.020711347,10,0.8074532449245453,0.9106336772673077,0.98,0.7205882352941175
Jiaxing,China,Molding lines,Icons,7,0.9828871479195915,12,510,39,1.0900300061268173,2024-10-10,16,2.99751,13.002490043640137,0.023529411764705882,552,0.9889419582405807,545,0.020257052,11,0.8126556277275085,0.9862364338465335,0.9798165137614679,0.7852941176470589
Jiaxing,China,Molding lines,Icons,3,0.9828871479195915,12,510,3,0.9911289066014253,2024-09-04,16,2.9929152,13.007084846496582,0.023529411764705882,552,0.8502584806819568,469,0.019955385,9,0.8129428029060364,0.8484064068067781,0.9808102345415778,0.676470588235294
Jiaxing,China,Molding lines,Icons,9,0.9828871479195915,12,510,10,1.010359675617274,2024-09-11,16,3.0144517,12.985548257827759,0.023529411764705882,551,0.8433082057157697,464,0.02009994,9,0.8115967661142349,0.8407536472125705,0.9806034482758621,0.6691176470588236
Jiaxing,China,Molding lines,Icons,2,0.9828871479195915,12,510,17,1.0295904455644451,2024-09-18,16,3.0664034,12.93359661102295,0.023529411764705882,549,0.9985938203602978,548,0.020472566,11,0.8083497881889343,0.996947564923242,0.9799270072992701,0.7897058823529411
Jiaxing,China,Molding lines,Icons,3,0.9828871479195915,12,510,24,1.0488212173742615,2024-09-25,16,3.1100361,12.889963865280151,0.023529411764705882,547,0.8584361435231064,469,0.020816267,9,0.8056227415800095,0.8561152097075501,0.9808102345415778,0.676470588235294
Jiaxing,China,Molding lines,Icons,9,0.9828871479195915,12,510,31,1.0680519854587875,2024-10-02,16,3.0894377,12.91056227684021,0.023529411764705882,548,0.9076969011064447,497,0.020756459,10,0.8069101423025131,0.905779112969888,0.9798792756539235,0.7161764705882352
Jiaxing,China,Molding lines,Icons,5,0.9828871479195915,12,510,38,1.0872827535433136,2024-10-09,16,3.0106273,12.989372730255127,0.023529411764705882,552,0.8849465871529494,488,0.020328969,9,0.8118357956409454,0.8839805570003798,0.9815573770491803,0.7044117647058824
Jiaxing,China,Molding lines,Icons,8,0.9828871479195915,12,510,2,0.9883816535522603,2024-09-03,16,2.9932961,13.006703853607178,0.023529411764705882,552,0.9154623966523546,505,0.019959798,10,0.8129189908504486,0.9135560457833528,0.9801980198019802,0.7279411764705882
Jiaxing,China,Molding lines,Icons,6,0.9828871479195915,12,510,9,1.0076124230337702,2024-09-10,16,3.009779,12.99022102355957,0.023529411764705882,552,0.867592164698116,478,0.020067131,9,0.8118888139724731,0.8658096581367867,0.9811715481171548,0.6897058823529411
Jiaxing,China,Molding lines,Icons,0,0.9828871479195915,12,510,16,1.0268431929809414,2024-09-17,16,3.0578218,12.94217824935913,0.023529411764705882,550,0.801469308310824,440,0.02040999,8,0.8088861405849457,0.7999380766512967,0.9818181818181818,0.6352941176470589
Jiaxing,China,Molding lines,Icons,0,0.9828871479195915,12,510,23,1.0460739647907578,2024-09-24,16,3.1069455,12.893054485321045,0.023529411764705882,547,0.9762870407334248,534,0.020786513,11,0.8058159053325653,0.9745329081373282,0.9794007490636704,0.7691176470588235
Jiaxing,China,Molding lines,Icons,2,0.9828871479195915,12,510,30,1.0653047328752838,2024-10-01,16,3.096851,12.903148889541626,0.023529411764705882,548,0.9495203369124681,520,0.020793471,10,0.8064468055963516,0.9482409466393212,0.9807692307692307,0.7499999999999999
